correspondent_verbatim	files	nearest_authority_id	nearest_authority_name	similarity	likely_alias_of_existing
KN Krishnan	1	v-k-krishna-menon	krishna menon	0.74	review
Satyanarayan Sinha	1	anand-sinha	anand sinha	0.69	review
Mohida	1			0.00	no
GHG Raman	1	gv-ramakrishna	gv ramakrishna	0.61	review
Fredie Letter	1			0.00	no
Tan Singh	1	charan-singh	charan singh	0.76	review
Kapur Singh	1	charan-singh	charan singh	0.70	review
Rama Swarup	1			0.00	no
HH Maharaja PK Deo	1			0.00	no
Bhikshu Jannadas	1			0.00	no
Radhakrishna	1	sarvepalli-radhakrishnan	professor s radhakrishnan	0.89	review
Ganapaiah	1	g-v-kapadia	g v kapadia	0.60	review
Dhyan S Makhija	1	b-s-mahajan	b s mahajan	0.62	review
Maharaja Natwarsingh	1	charan-singh	charan singh	0.62	review
K S Venkateshwaran	1	c-s-venkatachar	c s venkatachar	0.73	review
Naoroz Seervai	1			0.00	no
G K Munshi	1	k-m-munshi	k m munshi	0.80	review
Girish	1			0.00	no
A E Gunawardena	1			0.00	no
Ghasirambabu Majhi	1			0.00	no
P J Deshmukh	1	chintaman-deshmukh	c c deshmukh	0.83	review
Lingappa	1			0.00	no
Shiv Prasad	1	b-shiva-rao	b shiva rao	0.64	review
K K Shah	1	l-k-jha	l k jha	0.67	review
Gian Singh Rarewala	1			0.00	no
Parmanand Kejriwal	1			0.00	no
Kusum Kumari Joshi	1	sharad-joshi	sharad joshi	0.60	review
K C Joseph	1			0.00	no
Victor Paran	1			0.00	no
Maryam	1	karl-marx	karl marx	0.60	review
Lalchand Hirachand	1			0.00	no
F C Cama	1	m-c-chagla	chagla	0.67	review
NV Norar	1			0.00	no
S Ramabhadran	1	ramabai-ranade	ramabai ranade	0.67	review
Doraisamy Nadar	1			0.00	no
Galbraith	1	john-kenneth-galbraith	john kenneth galbraith	0.64	review
Finance Minister	1			0.00	no
Volckmann	1			0.00	no
R F S Talyarkhan	1	r-k-talwar	r k talwar	0.62	review
K L Rao	1	k-l-rao	dr k l rao	0.82	review
Finance Minister-Set the People Free	1			0.00	no
L Sawhny	1			0.00	no
S T Sanghavi	1	s-l-n-sinha	s l n sinha	0.61	review
R S Lodha	1	r-n-jha	r n jha	0.62	review
India-JP Testament	1			0.00	no
Gayatri Devi	1			0.00	no
Dahyabhi Patel	1	sardar-patel	patel	0.71	review
P K Patnaik	1	s-k-patil	s k patil	0.70	review
U Muthuramalinga Thevar	1			0.00	no
Satya Narayan Sinha	1	h-narayan-rao	h narayan rao	0.62	review
John Deng	1	john-f-kennedy	john kennedy	0.67	review
Wahidur Rahman	1	fazal-ur-rahman	fazal-ur-rahman	0.69	review
K Raghuramaiah	1			0.00	no
Chacko	1			0.00	no
Pujaya C Rajagopalachari	1	c-rajagopalachari	c rajagopalachari	0.83	review
Sardarni Nirlep Kaur	1			0.00	no
Triguna Son	1	tarun-das	tarun das	0.60	review
J Mohammed Imam	1			0.00	no
R J Amin	1	r-k-amin	prof rk amin	0.88	yes
Budhi Prakash	1			0.00	no
R R Singh Deo	1	b-r-shenoy	b r shenoy	0.52	review
Hargovind D Takkar	1			0.00	no
Maharaja P K Deo	1			0.00	no
Rajabhallav Mishra	1			0.00	no
P S Sridhara Murthy	1			0.00	no
Harold Sehmautz	1			0.00	no
Harihar patel 22-06-193	1	sardar-patel	patel	0.80	review
Executive Swatantra Party	1			0.00	no
Dilip Chitre	1			0.00	no
Egg Head	1			0.00	no
Tribikram Tripathy	1			0.00	no
Howard Erdman	1			0.00	no
C R Irani	1	jj-irani	jj irani	0.71	review
