file	archive_id	date	year	date_flag	direction	correspondent_verbatim	thinker_id	resolution	genre	work_type_suggest
11-Letter_To_Mr_Yaskov_Morris_29-03-1971.pdf	11	1971-03-29	1971		to	Yaskov Morris		unresolved	letter	letter
110-Letter_to_Tony_03-03-1971.pdf	110	1971-03-03	1971		to	Tony		unresolved	letter	letter
1100-Letter_to_Mr_Roy_02-04-1984.pdf	1100	1984-04-02	1984		to	Roy		unresolved	letter	letter
1101-Letter_to_Mr_Minoo_Masani_23-11-1984.pdf	1101	1984-11-23	1984		to	Minoo Masani	minoo-masani	resolved	letter	letter
1102-Letter_to_Mr_Minoo_Masani_16-08-1983.pdf	1102	1983-08-16	1983		to	Minoo Masani	minoo-masani	resolved	letter	letter
1103-Letter_to_Mr_Minoo_Masani_07-05-1983.pdf	1103	1983-05-07	1983		to	Minoo Masani	minoo-masani	resolved	letter	letter
1104-Letter_to_Mr_Minoo_Masani_29-09-1981.pdf	1104	1981-09-29	1981		to	Minoo Masani	minoo-masani	resolved	letter	letter
1105-Letter_to_S_Krishnan_23-09-1981.pdf	1105	1981-09-23	1981		to	S Krishnan		unresolved	letter	letter
1106-Swatantra_party_to_be_Revived_22-09-1981.pdf	1106	1981-09-22	1981							
1107-Move_to_Revive_Swatantra_Party_22-09-1981.pdf	1107	1981-09-22	1981							
1108-Letter_to_Tajnarian_yadav_18-09-1981.pdf	1108	1981-09-18	1981		to	Tajnarian yadav		unresolved	letter	letter
1109-Letter_to_S_Krishnan_14-09-1981.pdf	1109	1981-09-14	1981		to	S Krishnan		unresolved	letter	letter
111-Letter_to_Mr_Jairam_Patel_03-03-1971.pdf	111	1971-03-03	1971		to	Jairam Patel		unresolved	letter	letter
1110-Letter_to_S_Krishnan_10-09-1981.pdf	1110	1981-09-10	1981		to	S Krishnan		unresolved	letter	letter
1111-Letter_to_S_Sitaraman_02-10-1980.pdf	1111	1980-10-02	1980		to	S Sitaraman		unresolved	letter	letter
1112-Letter_to_Mr_Minoo_Masani_27-10-1980.pdf	1112	1980-10-27	1980		to	Minoo Masani	minoo-masani	resolved	letter	letter
1113-Letter_to_Mr_Minoo_Masani_07-04-1980.pdf	1113	1980-04-07	1980		to	Minoo Masani	minoo-masani	resolved	letter	letter
1114-Letter_to_J_Venkiteswaran_24-03-1980.pdf	1114	1980-03-24	1980		to	J Venkiteswaran		unresolved	letter	letter
1115-Letter_to_Mr_Minoo_Masani_21-03-1980.pdf	1115	1980-03-21	1980		to	Minoo Masani	minoo-masani	resolved	letter	letter
1116-Letter_to_Mr_Minoo_Masani_13-03-1980.pdf	1116	1980-03-13	1980		to	Minoo Masani	minoo-masani	resolved	letter	letter
1117-Indian_Express_27-02-1980.pdf	1117	1980-02-27	1980						press_note	press_note
1118-Letter_to_Govind_Singh_19-02-1980.pdf	1118	1980-02-19	1980		to	Govind Singh		unresolved	letter	letter
1119-Letter_to_Mr_Minoo_Masani_15-02-1980.pdf	1119	1980-02-15	1980		to	Minoo Masani	minoo-masani	resolved	letter	letter
112-Letter_to_Mr_N_A_Palkhivala_03-03-1971.pdf	112	1971-03-03	1971		to	N A Palkhivala	nani-palkhivala	resolved	letter	letter
1120-Letter_to_Mr_Minoo_Masani_28-01-1980.pdf	1120	1980-01-28	1980		to	Minoo Masani	minoo-masani	resolved	letter	letter
1121-Letter_to_Govind_Singh_01-02-1980.pdf	1121	1980-02-01	1980		to	Govind Singh		unresolved	letter	letter
1122-Letter_to_Harihar_Patel_09-10-1979.pdf	1122	1979-10-09	1979		to	Harihar Patel		unresolved	letter	letter
1123-Letter_to_Mr_Minoo_Masani_03-10-1979.pdf	1123	1979-10-03	1979		to	Minoo Masani	minoo-masani	resolved	letter	letter
1124-Letter_to_Patel_22-09-1979.pdf	1124	1979-09-22	1979		to	Patel	sardar-patel	resolved	letter	letter
1125-Letter_to_B_Satyanaryan_05-10-1979.pdf	1125	1979-10-05	1979		to	B Satyanaryan		unresolved	letter	letter
1126-Letter_to_Mr_Minoo_Masani_01-10-1979.pdf	1126	1979-10-01	1979		to	Minoo Masani	minoo-masani	resolved	letter	letter
1127-Letter_to_Mr_Minoo_Masani_06-07-1978.pdf	1127	1978-07-06	1978		to	Minoo Masani	minoo-masani	resolved	letter	letter
1128-Letter_to_Mr_Minoo_Masani.pdf	1128				to	Minoo Masani	minoo-masani	resolved	letter	letter
1129-Letter_to_Mr_Minoo_Masani_03-07-1978.pdf	1129	1978-07-03	1978		to	Minoo Masani	minoo-masani	resolved	letter	letter
113-Letter_to_Mr_Jairam_Patel_03-03-1971.pdf	113	1971-03-03	1971		to	Jairam Patel		unresolved	letter	letter
1130-Parties_Arrears_Indian_Express_04-05-1978.pdf	1130	1978-05-04	1978						press_note	press_note
1131-Letter_to_Mr_Minoo_Masani_09-02-1978.pdf	1131	1978-02-09	1978		to	Minoo Masani	minoo-masani	resolved	letter	letter
1132-Letter_to_Mr_Minoo_Masani_03-10-1977.pdf	1132	1977-10-03	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1133-Letter_to_Mr_Minoo_Masani_29-07-1977.pdf	1133	1977-07-29	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1134-Letter_to_Mr_Minoo_Masani_29-07-1977.pdf	1134	1977-07-29	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1135-Letter_to_Mr_Minoo_Masani_26-07-1977.pdf	1135	1977-07-26	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1136-Letter_to_Mr_Minoo_Masani_22-07-1977.pdf	1136	1977-07-22	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
1137-Letter_to_Mr_Minoo_Masani_22-07-1977.pdf	1137	1977-07-22	1977		to	Minoo Masani	minoo-masani	resolved	letter	letter
