file	archive_id	pages	bytes	text_layer	ocr_quality	chars_per_page	word_hit	junk_ratio	dpi	colour	separation	legibility	ink_pct
1112-Letter_to_Mr_Minoo_Masani_27-10-1980.pdf	1112	1	159300	none	none	0.0	0.0	0.0	128	n	112.1	adequate	6.3
1113-Letter_to_Mr_Minoo_Masani_07-04-1980.pdf	1113	1	123658	none	none	0.0	0.0	0.0	128	y	109.6	adequate	6.5
1114-Letter_to_J_Venkiteswaran_24-03-1980.pdf	1114	1	76960	none	none	0.0	0.0	0.0	128	n	118.8	adequate	4.4
1115-Letter_to_Mr_Minoo_Masani_21-03-1980.pdf	1115	1	149121	none	none	0.0	0.0	0.0	128	n	103.2	adequate	6.5
1116-Letter_to_Mr_Minoo_Masani_13-03-1980.pdf	1116	1	150767	none	none	0.0	0.0	0.0	128	n	134.2	strong	7.9
1117-Indian_Express_27-02-1980.pdf	1117	3	188749	none	none	0.0	0.0	0.0	128	y	56.0	faint	19.8
1118-Letter_to_Govind_Singh_19-02-1980.pdf	1118	1	116833	none	none	0.0	0.0	0.0	128	n	130.8	strong	9.4
1119-Letter_to_Mr_Minoo_Masani_15-02-1980.pdf	1119	1	97682	none	none	0.0	0.0	0.0	128	n	63.6	weak	4.1
112-Letter_to_Mr_N_A_Palkhivala_03-03-1971.pdf	112	1	124992	none	none	0.0	0.0	0.0	128	y	90.6	adequate	5.1
1120-Letter_to_Mr_Minoo_Masani_28-01-1980.pdf	1120	1	140311	none	none	0.0	0.0	0.0	128	n	63.1	weak	9.2
1121-Letter_to_Govind_Singh_01-02-1980.pdf	1121	1	91612	none	none	0.0	0.0	0.0	128	y	114.8	adequate	5.8
1122-Letter_to_Harihar_Patel_09-10-1979.pdf	1122	1	148667	none	none	0.0	0.0	0.0	128	n	97.8	adequate	9.7
1123-Letter_to_Mr_Minoo_Masani_03-10-1979.pdf	1123	1	111824	none	none	0.0	0.0	0.0	128	y	83.8	weak	9.8
1124-Letter_to_Patel_22-09-1979.pdf	1124	2	239780	none	none	0.0	0.0	0.0	128	n	81.3	weak	21.3
1125-Letter_to_B_Satyanaryan_05-10-1979.pdf	1125	1	132616	none	none	0.0	0.0	0.0	128	n	135.8	strong	8.6
1126-Letter_to_Mr_Minoo_Masani_01-10-1979.pdf	1126	2	243658	none	none	0.0	0.0	0.0	128	n	90.7	adequate	6.6
1127-Letter_to_Mr_Minoo_Masani_06-07-1978.pdf	1127	1	95720	none	none	0.0	0.0	0.0	128	n	139.2	strong	5.5
1128-Letter_to_Mr_Minoo_Masani.pdf	1128	2	287232	none	none	0.0	0.0	0.0	128	n	111.1	adequate	4.7
1129-Letter_to_Mr_Minoo_Masani_03-07-1978.pdf	1129	2	204518	none	none	0.0	0.0	0.0	128	y	112.0	adequate	8.2
113-Letter_to_Mr_Jairam_Patel_03-03-1971.pdf	113	1	136530	none	none	0.0	0.0	0.0	128	y	99.8	adequate	5.7
1130-Parties_Arrears_Indian_Express_04-05-1978.pdf	1130	1	83010	none	none	0.0	0.0	0.0	128	n	100.5	adequate	4.8
1131-Letter_to_Mr_Minoo_Masani_09-02-1978.pdf	1131	1	182096	none	none	0.0	0.0	0.0	128	n	125.7	adequate	7.7
1132-Letter_to_Mr_Minoo_Masani_03-10-1977.pdf	1132	2	260305	none	none	0.0	0.0	0.0	128	n	141.2	strong	6.2
1133-Letter_to_Mr_Minoo_Masani_29-07-1977.pdf	1133	1	108177	none	none	0.0	0.0	0.0	128	n	86.4	weak	6.2
1134-Letter_to_Mr_Minoo_Masani_29-07-1977.pdf	1134	2	87969	none	none	0.0	0.0	0.0	128	y	87.0	weak	9.0
1135-Letter_to_Mr_Minoo_Masani_26-07-1977.pdf	1135	1	97607	none	none	0.0	0.0	0.0	128	n	68.4	weak	5.9
1136-Letter_to_Mr_Minoo_Masani_22-07-1977.pdf	1136	1	146245	none	none	0.0	0.0	0.0	128	n	81.1	weak	8.7
1137-Letter_to_Mr_Minoo_Masani_22-07-1977.pdf	1137	1	103285	none	none	0.0	0.0	0.0	128	y	125.8	adequate	7.0
1138-Letter_to_Mr_Minoo_Masani_20-07-1977.pdf	1138	1	92239	none	none	0.0	0.0	0.0	128	y	98.3	adequate	5.5
1139-Letter_to_Mr_Minoo_Masani_18-07-1977.pdf	1139	1	162458	none	none	0.0	0.0	0.0	128	n	93.2	adequate	7.6
114-Letter_to_Mr_J_B_Kripalani_03-03-1971.pdf	114	1	118737	none	none	0.0	0.0	0.0	128	y	96.0	adequate	3.1
1140-List_of_Invitees_For_the_Discussion_29-07-1977.pdf	1140	1	165080	none	none	0.0	0.0	0.0	128	n	87.1	weak	5.6
1141-Letter_to_Girish_Munshi_29-04-1977.pdf	1141	3	382298	none	none	0.0	0.0	0.0	128	n	136.4	strong	4.9
1142-Minutes_of_the_Meeting_of_the_National_Executive_28-04-1977.pdf	1142	4	795367	none	none	0.0	0.0	0.0	128	y	101.2	adequate	9.1
1143-Letter_About_Meeting_of_Maharashtra_State_Council_20-04-1977.pdf	1143	1	128392	none	none	0.0	0.0	0.0	128	n	100.5	adequate	4.0
1144-Letter_to_Girish_Munshi_15-04-1977.pdf	1144	1	94308	none	none	0.0	0.0	0.0	128	n	135.2	strong	3.7
1145-Letter_to_the_Enforcement_Officer_11-04-1977.pdf	1145	2	186977	none	none	0.0	0.0	0.0	128	y	83.3	weak	9.3
1146-Letter_to_SV_Raju_11-04-1977.pdf	1146	1	106915	none	none	0.0	0.0	0.0	128	n	111.0	adequate	3.3
1147-Letter_to_Mr_Minoo_Masani_08-04-1977.pdf	1147	1	100333	none	none	0.0	0.0	0.0	128	y	85.4	weak	3.5
1148-Letter_to_Girish_Munshi_08-04-1977.pdf	1148	1	100706	none	none	0.0	0.0	0.0	128	y	117.4	adequate	4.8
1149-Letter_to_Mr_Minoo_Masani_07-04-1977.pdf	1149	1	98390	none	none	0.0	0.0	0.0	128	n	70.4	weak	3.6
115-Letter_to_Mr_Minoo_Masani_02-03-1971.pdf	115	2	333277	none	none	0.0	0.0	0.0	128	y	63.2	weak	24.3
1150-Letter_to_SV_Raju_04-04-1977.pdf	1150	1	96116	none	none	0.0	0.0	0.0	128	y	125.7	adequate	3.4
1151-Letter_to_Girish_Munshi_04-04-1977.pdf	1151	1	99768	none	none	0.0	0.0	0.0	128	y	131.8	strong	3.8
1152-Letter_to_Mr_Minoo_Masani_01-04-1977.pdf	1152	1	107361	none	none	0.0	0.0	0.0	128	y	66.2	weak	5.7
1153-Letter_to_Mr_Minoo_Masani_01-04-1977.pdf	1153	1	155691	none	none	0.0	0.0	0.0	128	n	75.6	weak	8.1
