# Thinker dedup analysis input (461 thinkers)
# Format: slug | canonical | refs | bio_source | also_known_as (semicolon-sep)
# Generated by /tmp/build_thinker_list.py

j-r-marshall  |  J. R. Marshall  |  0  |  unknown  |  -
jagdish-bhagwati  |  Jagdish Bhagwati  |  11  |  unknown  |  Bhagwati
james-s-raj  |  James S. Raj  |  2  |  ai_drafted_stub  |  -
jamshed-antia  |  Jamshed Antia  |  1  |  ai_drafted_stub  |  -
janaki-ammal  |  Janaki Ammal  |  3  |  unknown  |  E.K. Janaki Ammal; जानकी अम्मल
javed-anand  |  Javed Anand  |  1  |  unknown  |  જાવેદ આનંદ
jawaharlal-nehru  |  Jawaharlal Nehru  |  153  |  unknown  |  Nehru; Pandit Nehru; जवाहरलाल नेहरू; पंडित नेहरू
jayaprakash-narayan  |  Jayaprakash Narayan  |  41  |  unknown  |  JP; JP Narayan; Jaya Prakash Narayan; Jai Prakash Narayan; Lok Nayak; जयप्रकाश नारायण; जे. पी. नारायण; জয়প্রকাশ নারায়ণ
jayashekar  |  Dr. Jayashekar  |  1  |  ai_drafted_stub  |  -
jayraj-sheth  |  Jayraj Sheth  |  0  |  unknown  |  -
jiban-mukhopadhyay  |  Jiban Mukhopadhyay  |  3  |  unknown  |  -
jj-irani  |  JJ Irani  |  0  |  unknown  |  -
johan-norberg  |  Johan Norberg  |  1  |  ai_drafted_stub  |  -
john-f-kennedy  |  John F. Kennedy  |  2  |  unknown  |  John Kennedy; JFK
john-foster-dulles  |  John Foster Dulles  |  2  |  unknown  |  Mr. Dulles; Dulles
john-kenneth-galbraith  |  John Kenneth Galbraith  |  23  |  unknown  |  Galbraith; Professor Galbraith; J.K. Galbraith
john-locke  |  John Locke  |  6  |  unknown  |  -
john-ridpath  |  John Ridpath  |  1  |  ai_drafted_stub  |  -
john-stuart-mill  |  John Stuart Mill  |  26  |  unknown  |  J. S. Mill; JS Mill
joseph-stalin  |  Joseph Stalin  |  13  |  unknown  |  Stalin; स्टालिन
joseph-stiglitz  |  Joseph Stiglitz  |  3  |  unknown  |  Stiglitz; Joseph E. Stiglitz
jr-henshaw  |  JR Henshaw  |  0  |  unknown  |  -
jrd-tata  |  J. R. D. Tata  |  27  |  unknown  |  JRD Tata; J R D Tata; JRD
jurgen-axer  |  Jürgen Axer  |  2  |  unknown  |  Dr. Jürgen Axer; Dr. Jurgen Axer
jyotirao-phule  |  Jyotirao Phule  |  15  |  unknown  |  Jyotiba Phule; Mahatma Phule; महात्मा जोतीराव फुले; जोतीराव फुले
k-b-dadiseth  |  K. B. Dadiseth  |  2  |  ai_drafted_stub  |  -
k-c-chakrabarty  |  Dr. K. C. Chakrabarty  |  2  |  ai_drafted_stub  |  -
k-d-malaviya  |  K. D. Malaviya  |  1  |  unknown  |  -
k-f-rustomji  |  K. F. Rustomji  |  2  |  unknown  |  KF Rustomji; Rustamji
k-jayaraman  |  K. Jayaraman  |  1  |  ai_drafted_stub  |  -
k-l-rao  |  Dr. K. L. Rao  |  2  |  ai_drafted_stub  |  -
k-m-munshi  |  K. M. Munshi  |  8  |  unknown  |  Kanaiyalal Munshi; KM Munshi
k-santhanam  |  K. Santhanam  |  8  |  ai_drafted_stub  |  -
k-sreeramamurty  |  K. Sreeramamurty  |  2  |  unknown  |  -
k-v-m-pai  |  K. V. M. Pai  |  1  |  ai_drafted_stub  |  -
k-venkataraman  |  Dr. K. Venkataraman  |  1  |  ai_drafted_stub  |  -
kandukuri-veeresalingam  |  Kandukuri Veeresalingam  |  3  |  ai_drafted_stub  |  -
kanuparti-varalakshmamma  |  Kanuparti Varalakshmamma  |  2  |  ai_drafted_stub  |  -
kanwal-rekhi  |  Kanwal Rekhi  |  1  |  ai_drafted_stub  |  -
karl-marx  |  Karl Marx  |  42  |  unknown  |  Marx; मार्क्स; कार्ल मार्क्स
karl-polanyi  |  Karl Polanyi  |  2  |  unknown  |  Polanyi
karsandas-mulji  |  Karsandas Mulji  |  4  |  ai_drafted_stub  |  -
kaushal-kishor  |  Kaushal Kishor  |  1  |  unknown  |  कौशल किशोर
kd-valicha  |  KD Valicha  |  7  |  unknown  |  K. D. Valicha; K.D. Valicha
ken-schoolland  |  Ken Schoolland  |  0  |  unknown  |  Ken Schooland
khasa-subba-rau  |  Khasa Subba Rau  |  4  |  unknown  |  -
kiran-nanda  |  Kiran Nanda  |  1  |  unknown  |  -
kishor-karia  |  Kishor B. Karia  |  1  |  unknown  |  Mr. Kishor B. Karia; Kishor Karia
kishore-valicha  |  Kishore Valicha  |  2  |  unknown  |  -
kishori-j-udeshi  |  Kishori J. Udeshi  |  4  |  ai_drafted_stub  |  -
krishnamohan-bandyopadhyay  |  Krishna Mohan Banerjee  |  1  |  unknown  |  Krishnamohan Bandyopadhyay; Krishna Mohan Bandyopadhyay; কৃষ্ণমোহন বন্দ্যোপাধ্যায়
kusum-lotwala  |  Kusum R. Lotwala  |  10  |  unknown  |  Kusum Lotwala; Miss Kusum Lotwala; K. R. Lotwala; Miss K. R. Lotwala; Miss Kusim Lotwala
kusum-shrestha  |  Kusum Shrestha  |  2  |  unknown  |  -
kv-narain  |  KV Narain  |  0  |  unknown  |  -
kv-subrahmanyam  |  KV Subrahmanyam  |  1  |  unknown  |  -
l-g-bapat  |  Prof. L. G. Bapat  |  3  |  ai_drafted_stub  |  -
l-k-jha  |  L. K. Jha  |  12  |  unknown  |  LK Jha; L.K. Jha
lady-abala-bose  |  Lady Abala Bose  |  3  |  unknown  |  Abala Bose; অবলা বসু
lakshmibai-tilak  |  Lakshmibai Tilak  |  1  |  ai_drafted_stub  |  -
lal-bahadur-shastri  |  Lal Bahadur Shastri  |  16  |  unknown  |  लालबहादूर शास्त्री; Shastri
lalita-ramdas  |  Lalita Ramdas  |  0  |  unknown  |  -
louella-lobo-prabhu  |  Louella Lobo Prabhu  |  0  |  unknown  |  Mme Louella Lobo Prabhu
ludwig-erhard  |  Ludwig Erhard  |  23  |  unknown  |  -
ludwig-von-mises  |  Ludwig von Mises  |  14  |  unknown  |  Mises; Von Mises
m-a-master  |  M.A. Master  |  1  |  unknown  |  -
m-c-chagla  |  M. C. Chagla  |  12  |  unknown  |  MC Chagla; M.C. Chagla; Mahomedali Currim Chagla; एम. सी. छागला
m-c-munshi  |  Dr. M. C. Munshi  |  1  |  ai_drafted_stub  |  -
m-c-setalvad  |  M. C. Setalvad  |  4  |  unknown  |  MC Setalvad; M.C. Setalvad; M. C. Setalwad; Setalvad; Setalwad
m-g-hallar  |  M. G. Hallar  |  2  |  unknown  |  MG Hallar; M.G. Hallar; M. G. Balier
m-l-dantewala  |  M. L. Dantwala  |  5  |  unknown  |  M.L. Dantewala; Dantwala; Dantewala; दांतेवाला
m-l-tannan  |  M. L. Tannan  |  2  |  ai_drafted_stub  |  -
m-n-roy  |  M. N. Roy  |  8  |  unknown  |  MN Roy; M.N. Roy; Manabendra Nath Roy; Narendra Nath Bhattacharya; एम. एन. रॉय; এম. এন. রায়; মানবেন্দ্র নাথ রায়
m-n-tholal  |  M. N. Tholal  |  5  |  unknown  |  -
m-narasimhan  |  M. Narasimham  |  2  |  ai_drafted_stub  |  -
m-r-anantharamakrishnan  |  M. R. Anantharamakrishnan  |  0  |  ai_drafted_stub  |  -
m-r-pai  |  M. R. Pai  |  36  |  unknown  |  MR Pai; M.R. Pai; M.R.PAI; एम. आर. पई
ma-pathan  |  MA Pathan  |  0  |  unknown  |  -
ma-rangoonwala  |  MA Rangoonwala  |  1  |  unknown  |  -
ma-sreenivasan  |  MA Sreenivasan  |  13  |  unknown  |  -
ma-venkata-rao  |  MA Venkata Rao  |  24  |  unknown  |  -
mahadev-govind-ranade  |  Mahadev Govind Ranade  |  24  |  ai_drafted_stub  |  -
maharana-pratap  |  Maharana Pratap  |  1  |  unknown  |  महाराणा प्रताप; महाराणा प्रताप सिंह
mahatma-gandhi  |  Mahatma Gandhi  |  121  |  unknown  |  Gandhi; Bapu; MK Gandhi; महात्मा गांधी; मोहनदास गांधी; मोहनदास करमचंद गांधी
malini-karakal  |  Malini Karakal  |  0  |  unknown  |  -
maneesha-tikekar  |  Maneesha Tikekar  |  2  |  unknown  |  Dr. Maneesha Tikekar
mangesh-kulkarni  |  Mangesh Kulkarni  |  0  |  unknown  |  -
mangesh-soman  |  Mangesh Soman  |  1  |  unknown  |  Mr. Mangesh Soman
manmohan-singh  |  Manmohan Singh  |  26  |  unknown  |  Dr. Manmohan Singh
mao-zedong  |  Mao Zedong  |  3  |  unknown  |  Mao Tse-tung; Chairman Mao
margaret-thatcher  |  Margaret Thatcher  |  7  |  unknown  |  -
matt-ridley  |  Matt Ridley  |  2  |  unknown  |  -
maulana-abul-kalam-azad  |  Maulana Abul Kalam Azad  |  0  |  unknown  |  Maulana Abdul Kalam Azad; Maulana Azad
maurice-strong  |  Maurice Strong  |  0  |  unknown  |  -
mehboob-desai  |  Mehboob Desai  |  1  |  unknown  |  મહેબૂબ દેસાઈ
mh-mody  |  MH Mody  |  0  |  unknown  |  -
mh-moody  |  MH Moody  |  0  |  unknown  |  -
